package_age_days,days_since_update,days_since_last_commit,update_frequency_score,description_length,has_detailed_description,log_download_count,log_star_count,log_fork_count,stars_to_downloads,maintainer_count,maintainer_experience,has_homepage,has_repository,total_issues,issue_resolution_rate,log_contributors,log_commits,community_engagement_score,ecosystem_npm,ecosystem_pypi,total_historical_vulns,critical_historical_vulns,vuln_frequency_score,is_security_related,total_dependencies,unique_dependencies,high_risk_indicators,age_new,age_young,age_mature,age_old,update_rec_very_recent,update_rec_recent,update_rec_stale,update_rec_abandoned,maintenance_risk,security_history_risk,community_risk,dependency_risk,composite_risk_score
692.0,441.0,365.0,1,98,0,18.250329539759512,1.6094379124341003,0.6931471805599453,4.742884833851468e-08,1,0.0,1,1,1.0,0.0,0.0,0.0,3,True,False,2.0,0.0,1,0,16.0,6.0,1,False,True,False,False,False,False,False,True,1.0,0.12,0.7,0.096,0.4952
1160.0,365.0,365.0,2,108,1,18.1532578873548,2.4849066497880004,0.6931471805599453,1.4372521140247363e-07,1,1.0,1,1,2.0,0.0,0.0,0.0,4,True,False,2.0,1.0,1,0,29.0,6.0,1,False,False,True,False,False,False,True,False,0.6,0.2533333333333333,0.3,0.174,0.3508
3207.0,676.0,365.0,1,163,1,18.25473046350948,8.963544291996744,5.66988092298052,9.222178536630801e-05,2,0.0,1,1,199.0,0.0,0.0,0.0,4,True,False,5.0,0.0,2,0,22.0,2.0,1,False,False,False,True,False,False,False,True,0.7,0.3,0.09999999999999998,0.132,0.3464
1907.0,6.0,365.0,5,109,1,18.2647018873612,7.3833681469923835,4.204692619390966,1.8794327965324183e-05,1,0.0,1,1,20.0,0.0,0.0,0.0,4,True,False,4.0,0.0,2,0,0.0,0.0,0,False,False,True,False,True,False,False,False,0.3,0.24,0.3,0.0,0.22199999999999998
849.0,164.0,365.0,3,98,0,18.09146087919154,2.8903717578961645,1.0986122886681098,2.3628017942449682e-07,1,0.0,1,1,1.0,0.0,0.0,0.0,4,True,False,1.0,0.0,1,0,242.0,17.0,1,False,True,False,False,False,False,True,False,0.3,0.06,0.3,0.6,0.288
3703.0,431.0,365.0,1,36,0,18.001890367490937,8.098034756176071,5.225746673713202,4.996639923064818e-05,1,0.0,1,1,25.0,0.0,0.0,0.0,4,True,False,4.0,0.0,2,0,0.0,0.0,1,False,False,False,True,False,False,False,True,1.0,0.24,0.3,0.0,0.432
5190.0,645.0,365.0,1,37,0,17.91449805838158,10.994168470877957,9.932657929835909,0.000987487828310464,4,0.0,1,1,92.0,0.0,0.0,0.0,4,True,False,21.0,1.0,4,0,4.0,4.0,3,False,False,False,True,False,False,False,True,0.7,0.7333333333333333,0.09999999999999998,0.024,0.4548
970.0,10.0,365.0,5,22,0,17.889401343938722,9.945061264446057,7.191429330036379,0.000354646852758394,2,1.0,0,1,47.0,0.0,0.0,0.0,3,True,False,4.0,1.0,2,0,8.0,1.0,1,False,True,False,False,True,False,False,False,0.0,0.3733333333333333,0.2,0.048,0.1616
970.0,10.0,365.0,5,22,0,17.889401343938722,9.945061264446057,7.191429330036379,0.000354646852758394,1,0.0,0,1,47.0,0.0,0.0,0.0,3,True,False,4.0,1.0,2,0,8.0,1.0,1,False,True,False,False,True,False,False,False,0.3,0.3733333333333333,0.4,0.048,0.2916
3550.0,780.0,365.0,1,33,0,18.06727123410431,2.833213344056216,1.0986122886681098,2.2782626094644667e-07,1,0.0,1,1,0.0,0.0,0.0,0.0,3,True,False,1.0,0.0,1,0,0.0,0.0,1,False,False,False,True,False,False,False,True,1.0,0.06,0.4,0.0,0.398
910.0,152.0,365.0,3,48,0,18.085339117950024,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0,0.0,2,True,False,0.0,0.0,0,0,36.0,9.0,0,False,True,False,False,False,False,True,False,0.3,0.0,0.8,0.216,0.2932
